#####################################################################
# Alchemist log file - simulation started at: 2024-05-30T13:51+0000 #
#####################################################################
#
# seed = 25.0, leaderInitialResource = 1000, resourceUpperBound = 10, resourceLowerBound = 10, spawningRatio = 500, maxChildren = 5, gaussianShape = 5, initialNodes = 1, resourceRadius = 6.0
#
# The columns have the following meaning: 
# simulation_time nodes limited_size full_size 
540.2459822523016 28.0 1237.0 42803.0
543.2459822523016 27.0 1196.0 41291.0
546.2459822523016 27.0 1196.0 41245.0
549.2459822523016 27.0 1196.0 41231.0
552.2459822523016 27.0 1196.0 41228.0
555.2459822523016 27.0 1196.0 41228.0
558.2459822523016 27.0 1196.0 41228.0
561.2459822523016 27.0 1196.0 41228.0
564.2459822523016 27.0 1196.0 41228.0
567.2459822523016 29.0 1282.0 44215.0
570.2459822523016 32.0 1405.0 48891.0
573.2459822523016 32.0 1405.0 48943.0
576.2459822523016 30.0 1319.0 45910.0
579.2459822523016 30.0 1319.0 45899.0
582.2459822523016 30.0 1319.0 45885.0
585.2459822523016 30.0 1319.0 45872.0
588.2459822523016 30.0 1319.0 45872.0
591.2459822523016 30.0 1319.0 45872.0
594.2459822523016 30.0 1319.0 45872.0
597.2459822523016 30.0 1319.0 45872.0
600.2459822523016 32.0 1407.0 48865.0
603.2459822523016 36.0 1572.0 55019.0
606.2459822523016 36.0 1572.0 55081.0
609.2459822523016 33.0 1444.0 50541.0
612.2459822523016 32.0 1402.0 49001.0
615.2459822523016 32.0 1402.0 48999.0
618.2459822523016 32.0 1402.0 48994.0
621.2459822523016 31.0 1360.0 47419.0
624.2459822523016 31.0 1360.0 47436.0
627.2459822523016 31.0 1360.0 47416.0
630.2459822523016 31.0 1360.0 47402.0
633.2459822523016 31.0 1360.0 47402.0
636.2459822523016 31.0 1360.0 47402.0
639.2459822523016 31.0 1360.0 47402.0
642.2459822523016 31.0 1360.0 47402.0
645.2459822523016 32.0 1403.0 48868.0
648.2459822523016 37.0 1609.0 56514.0
651.2459822523016 37.0 1609.0 56675.0
654.2459822523016 37.0 1609.0 56667.0
657.2459822523016 34.0 1484.0 52117.0
660.2459822523016 34.0 1484.0 52063.0
663.2459822523016 34.0 1484.0 52073.0
666.2459822523016 34.0 1484.0 52047.0
669.2459822523016 34.0 1484.0 52047.0
672.2459822523016 34.0 1484.0 52047.0
675.2459822523016 34.0 1484.0 52047.0
678.2459822523016 34.0 1484.0 52047.0
681.2459822523016 35.0 1529.0 53549.0
684.2459822523016 38.0 1655.0 57984.0
687.2459822523016 40.0 1738.0 61098.0
690.2459822523016 40.0 1738.0 61465.0
693.2459822523016 40.0 1738.0 61459.0
696.2459822523016 37.0 1613.0 56887.0
699.2459822523016 36.0 1573.0 55344.0
702.2459822523016 36.0 1573.0 55344.0
705.2459822523016 36.0 1573.0 55343.0
708.2459822523016 36.0 1573.0 55331.0
711.2459822523016 36.0 1573.0 55312.0
714.2459822523016 36.0 1573.0 55312.0
717.2459822523016 36.0 1573.0 55312.0
720.2459822523016 36.0 1573.0 55312.0
723.2459822523016 36.0 1573.0 55312.0
726.2459822523016 38.0 1662.0 58310.0
729.2459822523016 41.0 1781.0 62868.0
732.2459822523016 41.0 1781.0 63062.0
735.2459822523016 38.0 1655.0 58482.0
738.2459822523016 37.0 1614.0 56954.0
741.2459822523016 37.0 1614.0 56945.0
744.2459822523016 37.0 1614.0 56942.0
747.2459822523016 37.0 1614.0 56913.0
750.2459822523016 37.0 1614.0 56913.0
753.2459822523016 37.0 1614.0 56913.0
756.2459822523016 37.0 1614.0 56913.0
759.2459822523016 37.0 1614.0 56913.0
762.2459822523016 38.0 1659.0 58414.0
765.2459822523016 40.0 1739.0 61367.0
768.2459822523016 40.0 1739.0 61660.0
771.2459822523016 40.0 1739.0 61669.0
774.2459822523016 38.0 1655.0 58597.0
777.2459822523016 38.0 1655.0 58563.0
780.2459822523016 38.0 1655.0 58559.0
783.2459822523016 38.0 1655.0 58546.0
786.2459822523016 38.0 1655.0 58538.0
789.2459822523016 38.0 1655.0 58538.0
792.2459822523016 38.0 1655.0 58538.0
795.2459822523016 38.0 1655.0 58538.0
798.2459822523016 38.0 1655.0 58536.0
801.2459822523016 40.0 1740.0 61615.0
804.2459822523016 43.0 1865.0 66366.0
807.2459822523016 41.0 1782.0 63394.0
810.2459822523016 41.0 1782.0 63359.0
813.2459822523016 40.0 1739.0 61818.0
816.2459822523016 39.0 1697.0 60225.0
819.2459822523016 39.0 1697.0 60215.0
822.2459822523016 39.0 1697.0 60188.0
825.2459822523016 39.0 1697.0 60170.0
828.2459822523016 39.0 1697.0 60162.0
831.2459822523016 39.0 1697.0 60162.0
834.2459822523016 39.0 1697.0 60162.0
837.2459822523016 39.0 1697.0 60162.0
840.2459822523016 39.0 1697.0 60160.0
843.2459822523016 41.0 1781.0 63211.0
846.2459822523016 44.0 1903.0 67797.0
849.2459822523016 44.0 1903.0 68052.0
852.2459822523016 44.0 1903.0 68031.0
855.2459822523016 40.0 1737.0 61948.0
858.2459822523016 40.0 1737.0 61933.0
861.2459822523016 40.0 1737.0 61920.0
864.2459822523016 40.0 1737.0 61917.0
867.2459822523016 39.0 1696.0 60293.0
870.2459822523016 39.0 1696.0 60316.0
